audio_id,domain
fcb2kej01s109_set109072,"['1.09', '8']"
mkn3njm00s133_set133068,"['0.65', '12']"
mss3csg00s075_set075094,"['0.76', '11']"
mkn2kjs03s027_set027096,"['0.51', '25']"
fkn3hsh00s156_set156076,"['1.46', '10']"
fss4hcs00s071_set071004,"['1.02', '9']"
fss3jmh00s099_set099084,"['1.41', '20']"
fcb3kms00s127_set127047,"['1.49', '23']"
fcb2yjh00s187_set187033,"['0.87', '19']"
fkn2jsy01s033_set033073,"['0.54', '10']"
mss4lhs01s168_set168102,"['0.97', '11']"
mjn3lyc00s086_set086090,"['1.03', '14']"
mkn4jmg00s077_set077060,"['0.36', '5']"
fcn4lsd00s007_set007089,"['1.23', '16']"
fcb3kms00s127_set127031,"['1.46', '16']"
mjn3lgs00s171_set171070,"['1.24', '3']"
fkn3kky00s137_set137077,"['1.29', '3']"
fjn3pyh00s030_set030080,"['1.07', '12']"
mss2kdh00s125_set125092,"['1.37', '18']"
mjn4lys01s158_set158061,"['0.96', '3']"
mjn5kwg00s155_set155033,"['0.5', '17']"
mjn2jkh01s103_set103051,"['1.33', '20']"
fjn4jms01s153_set153060,"['1.23', '21']"
mkn3jws00s043_set043095,"['0.29', '17']"
fss1ksh02s019_set019043,"['1.39', '25']"
mkw4cwy00s018_set018055,"['0.42', '14']"
mkn3kgh00s111_set111019,"['1.48', '8']"
fss2chm00s009_set009047,"['0.68', '12']"
mss2kjy00s002_set002101,"['1.37', '14']"
fkb4lhh00s140_set140081,"['0.7', '16']"
fss3pmj00s128_set128001,"['1.28', '17']"
mss1kkm01s129_set129050,"['1.25', '22']"
fkb2ymh00s016_set016067,"['0.91', '5']"
fjn3pbk00s135_set135030,"['0.52', '4']"
mkn2kkm00s004_set004065,"['0.64', '12']"
fjn3hks00s061_set061059,"['0.25', '23']"
mkn3jip00s034_set034048,"['0.3', '15']"
mjn3kbs01s173_set173001,"['0.56', '14']"
fss2hyj00s036_set036080,"['0.42', '3']"
mjn2shr00s114_set114078,"['0.36', '10']"
mkn3kog00s032_set032103,"['0.26', '14']"
fkb4lks00s077_set077052,"['0.99', '15']"
mss4ybd00s082_set082053,"['1.31', '15']"
mkw3lbc00s023_set023046,"['0.83', '14']"
mcn3jsj00s040_set040005,"['1.28', '21']"
mss2pjg01s063_set063073,"['0.81', '23']"
fss4scs00s008_set008013,"['1.4', '11']"
mjn1hjw00s118_set118099,"['0.35', '14']"
mss3kjs05s147_set147103,"['0.43', '16']"
mss1bsc00s012_set012092,"['0.62', '16']"
fjn3kyo00s119_set119012,"['1.28', '9']"
fkn1syl00s178_set178031,"['0.62', '7']"
fcb3kms00s127_set127098,"['0.39', '3']"
mcn3rhm00s151_set151102,"['0.77', '13']"
mkw1shg00s184_set184016,"['0.65', '14']"
fjb2kem01s095_set095017,"['1.03', '16']"
fjn3kir00s014_set014087,"['0.53', '15']"
fjn3hks00s061_set061038,"['1.16', '10']"
mss4hwb00s030_set030030,"['1.01', '10']"
mss2kjy00s002_set002062,"['1.2', '20']"
mcn2lds00s135_set135059,"['0.53', '30']"
mss2lsm00s011_set011068,"['0.66', '15']"
fcn3pej00s139_set139091,"['1.45', '15']"
mcn3jsj00s040_set040058,"['0.36', '23']"
mss3lch03s148_set148096,"['1.09', '14']"
fkn3yks00s097_set097033,"['0.7', '6']"
mjn3lwt00s172_set172070,"['1.27', '29']"
fss5mjs00s057_set057067,"['0.87', '7']"
fkn3kky00s137_set137007,"['0.41', '11']"
fjb4sjo00s145_set145066,"['0.34', '11']"
mcn4lbj00s113_set113004,"['1.07', '9']"
fss4jse00s114_set114056,"['0.57', '13']"
mjn1hjw00s118_set118009,"['0.71', '15']"
fcn2hij00s117_set117035,"['1.39', '5']"
mss3kyh00s072_set072059,"['0.93', '13']"
mjn5kcr00s106_set106002,"['0.83', '14']"
mcn5jgs00s117_set117023,"['0.92', '3']"
mkn2ksh06s154_set154099,"['0.66', '20']"
fkb4lhh00s140_set140040,"['0.96', '16']"
fss2kjs00s032_set032052,"['1.04', '14']"
mss3hck00s089_set089005,"['0.32', '15']"
fjb2khy00s083_set083014,"['0.52', '9']"
fcn3lms00s110_set110083,"['1.3', '15']"
fjn3kir00s014_set014081,"['0.2', '22']"
fss3pmj00s128_set128076,"['0.83', '12']"
mcn3jsg00s178_set178059,"['0.58', '12']"
fjn2jms00s150_set150079,"['1.23', '6']"
mkn2lkm00s029_set029068,"['0.99', '10']"
mss4ksb00s098_set098035,"['0.78', '3']"
fss2hyl00s058_set058010,"['1.48', '15']"
fjb4koh00s075_set075043,"['1.26', '12']"
fss3jmk00s167_set167032,"['0.21', '9']"
mss3sdh00s110_set110037,"['0.5', '5']"
fkw1cek00s195_set195019,"['1.25', '5']"
fjb3ohs00s090_set090066,"['1.36', '22']"
fkn2sjs01s123_set123030,"['0.98', '24']"
mjn3lwt00s172_set172059,"['0.8', '13']"
fss3pks00s029_set029030,"['1.14', '13']"
fcn3ljs00s081_set081096,"['0.4', '11']"
mkn2ksh06s154_set154012,"['0.56', '16']"
mjn2kcs01s056_set056020,"['0.98', '12']"
mcn1lsg00s010_set010086,"['1.44', '11']"
fss3hhy01s070_set070070,"['0.75', '10']"
fcn3lci00s118_set118066,"['1.43', '19']"
fjb1shk00s183_set183076,"['1.15', '17']"
mcn3kgh01s181_set181080,"['0.91', '14']"
mss1lch02s008_set008042,"['0.95', '9']"
mss1hwh00s128_set128095,"['0.45', '12']"
fss4sjs00s023_set023018,"['0.91', '8']"
mss2kdh00s125_set125059,"['0.85', '5']"
mss4ksb00s098_set098029,"['0.52', '11']"
mjn2chj00s126_set126071,"['1.2', '21']"
mss3ktj00s025_set025077,"['0.71', '8']"
mkw3lbc00s023_set023068,"['0.92', '30']"
fjb2kem01s095_set095030,"['0.64', '9']"
fss1jys00s022_set022007,"['1.08', '10']"
mkw3hse00s159_set159054,"['0.93', '7']"
mkw4hym00s199_set199072,"['1.39', '20']"
fkw2jyj00s108_set108081,"['1.36', '10']"
fss3lkh00s028_set028046,"['0.64', '7']"
fkw3kma00s170_set170086,"['1.21', '9']"
mkn4jmc00s166_set166071,"['1.39', '21']"
mss4eks00s017_set017059,"['0.49', '14']"
fcn3cks01s048_set048104,"['0.67', '8']"
fjn4jms01s153_set153068,"['0.58', '13']"
fss3jmk00s167_set167038,"['1.46', '9']"
fcn1sjr00s192_set192062,"['0.7', '10']"
fkn2jsy02s065_set065051,"['1.33', '12']"
mss1hwh00s128_set128094,"['1.29', '12']"
fcn3ljs00s081_set081034,"['0.82', '18']"
fcn3sio00s088_set088026,"['1.2', '13']"
mss1bsc00s012_set012064,"['0.42', '8']"
fkn2lho00s100_set100073,"['1.21', '10']"
mss2pgy00s066_set066064,"['1.01', '14']"
mss1lch02s008_set008050,"['0.25', '32']"
mss2pgy00s066_set066002,"['0.23', '7']"
fkb3ksm00s121_set121015,"['1.48', '28']"
fss4jse00s114_set114054,"['1.45', '22']"
fss1bjk00s021_set021102,"['1.04', '23']"
fkw3hhy00s039_set039036,"['0.79', '21']"
fss3pmj00s128_set128032,"['1.11', '8']"
fkb4keh00s031_set031038,"['0.49', '16']"
fss3yje00s001_set001020,"['0.53', '18']"
mss4hwb00s030_set030092,"['1.47', '26']"
mkn4jmc00s166_set166017,"['0.89', '7']"
mss4lhs01s168_set168037,"['1.16', '12']"
mkn3jws00s043_set043031,"['0.51', '17']"
fkw2phs00s043_set043082,"['0.64', '16']"
fkn3kse00s041_set041019,"['1.19', '21']"
mjn2kcs01s056_set056057,"['0.68', '6']"
mss1lch02s008_set008081,"['0.93', '21']"
mjn2jss00s068_set068081,"['0.79', '7']"
mss3kyk00s140_set140082,"['0.9', '17']"
fjb4sjo00s145_set145073,"['1.47', '24']"
mkn3kjh03s161_set161077,"['0.89', '4']"
mss3sjy00s071_set071028,"['1.35', '12']"
fjb2ljh00s053_set053067,"['1.0', '10']"
mkn3kgh00s111_set111030,"['0.49', '20']"
fkb4keh00s031_set031103,"['0.49', '9']"
fjb2psj00s064_set064032,"['1.27', '6']"
mcn1lsg00s010_set010073,"['0.97', '12']"
mkn3jws00s043_set043016,"['1.13', '6']"
mss1ahj01s009_set009034,"['0.46', '23']"
mcn3ldi00s028_set028047,"['0.43', '16']"
fjb3cks02s105_set105005,"['1.02', '16']"
fkb2lsj00s112_set112051,"['0.69', '11']"
mkn3abc00s024_set024065,"['0.54', '11']"
fcn3lmk00s131_set131089,"['0.55', '8']"
mss3khs03s136_set136006,"['0.29', '7']"
mkw2jch00s005_set005081,"['1.11', '15']"
mss4ksb00s098_set098008,"['1.35', '9']"
fjn3lbh00s063_set063084,"['0.62', '15']"
mss4kyc00s041_set041084,"['0.76', '18']"
mcn2jjs01s085_set085038,"['1.05', '16']"
mkw2jch00s005_set005086,"['0.31', '6']"
mss1kkm01s129_set129089,"['1.4', '12']"
fkw2phs01s165_set165062,"['0.67', '13']"
mjn2kcs01s056_set056087,"['0.27', '6']"
mcn2osh00s185_set185077,"['0.27', '5']"
mkn1hgc00s084_set084096,"['0.74', '7']"
fjb3pka01s147_set147040,"['0.87', '8']"
fss3jmh00s099_set099067,"['0.8', '12']"
fss3kmj02s163_set163050,"['0.53', '27']"
fss2kjs01s037_set037004,"['0.77', '7']"
mkn3kyh01s182_set182083,"['0.46', '12']"
mss3kyk00s140_set140089,"['1.05', '11']"
mss3hck00s089_set089069,"['0.64', '8']"
fcn4ljs02s197_set197022,"['1.39', '18']"
fkn2sjs01s123_set123033,"['1.29', '24']"
fkn3lni00s182_set182045,"['1.48', '15']"
fkn3bra00s098_set098058,"['1.45', '20']"
fjb2khy00s083_set083045,"['0.57', '13']"
fcn2les00s079_set079005,"['1.16', '14']"
mkn2ase00s096_set096066,"['0.46', '31']"
mss2shy01s067_set067081,"['1.07', '18']"
fss3lmr00s006_set006002,"['0.86', '6']"
fkn2ley00s124_set124017,"['0.28', '9']"
fss2kkh00s055_set055004,"['1.32', '17']"
mjn2chj00s126_set126057,"['1.04', '21']"
fkn2khh00s020_set020083,"['0.53', '11']"
fcn2pkm00s169_set169009,"['0.42', '12']"
mcn3ldi00s028_set028060,"['0.98', '6']"
mkn2ase00s096_set096055,"['1.13', '12']"
mjn4ysh00s037_set037006,"['0.98', '14']"
fss2kem02s115_set115080,"['0.78', '10']"
mkn3koh01s048_set048002,"['0.24', '15']"
mcn4hny00s187_set187038,"['0.96', '9']"
mcn3jkh02s120_set120022,"['1.29', '14']"
mss2pug00s007_set007053,"['1.36', '13']"
fkn2jsy01s033_set033043,"['1.02', '4']"
mcn2sdw00s175_set175029,"['0.92', '11']"
mkn3kjh03s161_set161003,"['0.77', '23']"
mkn4jmc00s166_set166044,"['0.71', '8']"
mcn4gjh00s194_set194018,"['1.06', '11']"
mjn3kjg00s092_set092023,"['1.27', '8']"
fss2chm00s009_set009071,"['0.86', '10']"
mjn2shr00s114_set114077,"['0.39', '10']"
mkn2kgy00s195_set195043,"['1.41', '15']"
fkn3yks00s097_set097003,"['0.8', '6']"
mss4lsw00s045_set045075,"['0.73', '24']"
mkn3njm00s133_set133048,"['1.3', '7']"
fjb3yhs00s012_set012038,"['1.1', '20']"
fjb4cbs00s173_set173103,"['0.68', '10']"
mkn3kgh00s111_set111052,"['0.37', '5']"
fkn1lyo00s175_set175005,"['1.4', '24']"
fss3khs00s003_set003069,"['1.44', '8']"
fjb2ssh00s102_set102082,"['1.49', '7']"
mcn3kgh01s181_set181084,"['1.37', '15']"
fss2hyj00s036_set036027,"['1.21', '17']"
fss3yjs00s072_set072036,"['0.92', '12']"
mjn3lbj01s152_set152037,"['0.24', '26']"
fjn2jms00s150_set150022,"['0.65', '6']"
fkw2jyj00s108_set108028,"['0.2', '16']"
fjn3ksa00s049_set049022,"['0.65', '11']"
fjn3lbh00s063_set063074,"['1.24', '13']"
fkw2lsy01s166_set166048,"['0.27', '9']"
fcb1khh01s184_set184035,"['0.54', '8']"
mcn2ojs00s176_set176083,"['1.46', '12']"
mjn3jbc00s179_set179006,"['1.31', '17']"
fcn3sem00s162_set162056,"['1.12', '11']"
fcn4pkh01s142_set142104,"['0.3', '15']"
mkn2ngw00s055_set055045,"['1.08', '10']"
mcn3ksj02s116_set116013,"['0.61', '18']"
fss3lmr00s006_set006060,"['0.26', '18']"
fkb4lks00s077_set077012,"['0.71', '10']"
mcn3kgw00s053_set053087,"['1.41', '12']"
fcn4pkh01s142_set142016,"['0.48', '12']"
fss4lys00s136_set136045,"['1.42', '14']"
fcn2pkm00s169_set169088,"['1.46', '26']"
fss2kjs01s037_set037075,"['1.32', '11']"
mkw2jch00s005_set005098,"['0.81', '16']"
fss3kmh00s015_set015093,"['0.73', '17']"
fcn3hys00s093_set093030,"['1.48', '22']"
mcn2lds00s135_set135030,"['0.52', '13']"
fkn3lni00s182_set182038,"['0.98', '4']"
fcn4jbs00s042_set042046,"['1.05', '33']"
mss3kyh00s072_set072070,"['1.07', '16']"
fss4sjs00s023_set023005,"['1.0', '10']"
fcn4lsd00s007_set007021,"['0.28', '6']"
mjn3jbc00s179_set179045,"['0.43', '16']"
fss4ysj00s111_set111099,"['0.54', '24']"
fjb1shk00s183_set183010,"['1.3', '19']"
fjn2kel00s130_set130016,"['0.53', '16']"
fss4jhk00s148_set148100,"['0.3', '6']"
mjn2jyg01s141_set141046,"['0.88', '11']"
fss3hsa00s141_set141082,"['1.23', '14']"
mss3ysm00s019_set019008,"['1.39', '14']"
mcn1lsg00s010_set010054,"['0.96', '15']"
mkn2yjs01s079_set079049,"['0.21', '5']"
mss3sjy00s071_set071056,"['0.62', '25']"
fjn3pbk00s135_set135069,"['0.89', '21']"
mcn2osh00s185_set185012,"['1.03', '9']"
mjn1jst00s189_set189025,"['0.85', '11']"
mcn2sdw00s175_set175090,"['1.21', '21']"
mjn3jhg00s059_set059023,"['0.74', '21']"
mkn3ejs00s095_set095054,"['0.34', '9']"
mkn3jip00s034_set034041,"['1.38', '18']"
mkn2ngw00s055_set055001,"['0.37', '12']"
fss2kjs00s032_set032005,"['0.36', '8']"
fjn3kir00s014_set014018,"['1.02', '13']"
fcb1khh01s184_set184086,"['1.37', '16']"
fss3lmr00s006_set006033,"['0.31', '16']"
fkn4lms02s186_set186007,"['0.98', '6']"
mjn2pjh00s127_set127094,"['1.23', '11']"
mjn3jhg00s059_set059042,"['0.89', '17']"
mkn4phc00s115_set115085,"['0.35', '17']"
fjb3cks02s105_set105062,"['0.72', '21']"
fcn4jbs00s042_set042102,"['1.08', '24']"
mss3jyj01s146_set146056,"['1.2', '8']"
fss4hcs00s071_set071040,"['0.63', '4']"
fjb2ljh00s053_set053044,"['1.19', '20']"
fss2keh01s067_set067005,"['0.53', '10']"
mss2bjh00s001_set001090,"['1.41', '10']"
mcn4pcg00s109_set109089,"['0.36', '17']"
mcn3jkh02s120_set120010,"['1.13', '7']"
mss2kjy00s002_set002095,"['1.07', '21']"
fjb2kmj00s044_set044087,"['1.4', '16']"
fcb1jkh00s200_set200066,"['0.29', '10']"
fss1bjy00s052_set052071,"['1.13', '8']"
mss4eks00s017_set017087,"['1.31', '3']"
fcn2oyo00s116_set116009,"['0.62', '13']"
fjn3pbk00s135_set135039,"['0.62', '14']"
fss2cyh00s056_set056039,"['0.34', '19']"
fcn4ljs02s197_set197040,"['0.45', '10']"
mkw4cws00s112_set112089,"['1.19', '16']"
fkn1syl00s178_set178039,"['1.23', '9']"
mss4eks00s017_set017083,"['1.24', '17']"
mjn4ahs00s145_set145059,"['1.15', '14']"
mkw4cwy00s018_set018019,"['0.76', '15']"
mjn5kwg00s155_set155032,"['1.47', '8']"
fjb3cks02s105_set105060,"['0.34', '17']"
fss4yhj00s060_set060100,"['0.63', '17']"
mss3lky00s020_set020052,"['0.49', '7']"
mcn3ldi00s028_set028020,"['0.36', '8']"
fkn1syl00s178_set178044,"['1.42', '18']"
fss3kmj02s163_set163040,"['0.85', '7']"
fkb2ahj00s046_set046031,"['1.14', '8']"
mkn2kgy00s195_set195072,"['1.29', '22']"
fss3jmk00s167_set167009,"['0.27', '23']"
fss2kkh00s055_set055096,"['0.33', '10']"
fjn2jms00s150_set150066,"['1.47', '4']"
mcn2ojs00s176_set176046,"['0.82', '13']"
mkw2lcs00s180_set180073,"['1.37', '9']"
fss1kej00s068_set068054,"['1.46', '15']"
fkn4shy00s193_set193070,"['0.46', '5']"
mss3kyk00s140_set140067,"['0.48', '11']"
mss3ysm00s019_set019080,"['1.34', '13']"
fjb3ohs00s090_set090104,"['1.15', '13']"
fkn4ceh00s189_set189045,"['1.01', '24']"
mss3ajh01s013_set013090,"['0.89', '10']"
mss2csj00s080_set080001,"['0.34', '29']"
mjn3kbs00s169_set169024,"['1.45', '21']"
fkb2ymh00s016_set016042,"['0.43', '5']"
mss2ksh05s065_set065079,"['1.29', '15']"
mjn1jst00s189_set189045,"['0.45', '5']"
fss3yje00s001_set001025,"['1.37', '12']"
fcn2lhs00s176_set176011,"['0.79', '18']"
mss4lyn00s104_set104047,"['1.37', '10']"
mss2bjh00s001_set001070,"['1.27', '17']"
mjn3lji00s100_set100083,"['0.35', '8']"
mkn2lkm00s029_set029018,"['0.27', '16']"
fss3hhy01s070_set070085,"['1.11', '16']"
mkw4ljg00s190_set190087,"['0.73', '4']"
fcn3hhs00s089_set089100,"['1.13', '31']"
fjb3yhs00s012_set012002,"['0.3', '11']"
mjn3lwt00s172_set172010,"['0.86', '11']"
mkn2kjs03s027_set027006,"['1.3', '19']"
fss3khj01s086_set086028,"['1.26', '16']"
fkb2lsj00s112_set112104,"['1.27', '6']"
mss4ybh00s107_set107061,"['0.7', '7']"
mss3hck00s089_set089058,"['1.12', '8']"
mss1bsc00s012_set012073,"['1.34', '21']"
mcn2pms00s131_set131021,"['0.49', '22']"
fkw3hhy00s039_set039049,"['0.86', '22']"
fss4yhj00s060_set060071,"['0.23', '5']"
fcn2kmk00s129_set129085,"['1.16', '20']"
fkn3kse00s041_set041042,"['1.1', '13']"
fcb5ash00s157_set157054,"['0.74', '16']"
mss3lky00s020_set020062,"['1.26', '18']"
fcb3kms00s127_set127016,"['0.59', '9']"
fkw2jyj00s108_set108088,"['0.48', '9']"
mcn3ksy00s026_set026051,"['0.92', '19']"
mkn3kjh03s161_set161052,"['1.0', '12']"
fss1bjk00s021_set021010,"['0.57', '16']"
mjn3kjg00s092_set092041,"['0.45', '6']"
fss3lkh00s028_set028018,"['0.62', '18']"
fcn2kkh01s172_set172020,"['0.66', '7']"
mkw2lcs00s180_set180009,"['1.26', '8']"
mjn3kbs00s169_set169047,"['0.82', '6']"
fkb4lks00s077_set077078,"['0.47', '11']"
fcn4ljs02s197_set197063,"['0.88', '13']"
fss2kjs01s037_set037026,"['1.35', '8']"
fjn1ajh00s174_set174012,"['0.96', '19']"
fcn3lmk00s131_set131085,"['0.34', '4']"
fkb4cys00s069_set069028,"['0.71', '18']"
mjn2jyg01s141_set141016,"['0.79', '5']"
fkn3jhj00s054_set054003,"['1.06', '10']"
mss2lsm00s011_set011046,"['0.59', '9']"
fkn3kse00s041_set041088,"['0.8', '12']"
fss4jsy03s143_set143079,"['0.34', '10']"
mkn2kcy00s069_set069020,"['0.61', '12']"
mkn4eds00s014_set014030,"['0.95', '13']"
mss1bsc00s012_set012090,"['0.64', '19']"
fjn3lbh00s063_set063008,"['1.26', '12']"
mjn3jbc00s179_set179064,"['0.47', '5']"
mkn3jyj02s183_set183100,"['0.48', '15']"
fss2kmj01s066_set066018,"['0.52', '10']"
mcn2ojp00s049_set049078,"['0.55', '14']"
mcn3lhj00s101_set101017,"['0.65', '11']"
mss2nys00s006_set006061,"['1.41', '9']"
mss2pjg01s063_set063027,"['1.32', '9']"
mcn2jsm00s143_set143026,"['0.23', '33']"
mcn3lgh00s150_set150101,"['0.6', '8']"
mkw1shg00s184_set184052,"['1.12', '24']"
mss4ljw00s039_set039077,"['0.85', '8']"
fkn2kkw00s132_set132086,"['0.88', '19']"
mss4jkh03s174_set174027,"['0.4', '8']"
mjn3phs02s047_set047094,"['0.34', '19']"
mkn2kjs03s027_set027093,"['1.02', '12']"
mss3jyj01s146_set146003,"['1.27', '18']"
fcn2hij00s117_set117055,"['0.35', '8']"
mss1lch02s008_set008019,"['0.48', '21']"
fss2kjs00s032_set032034,"['0.7', '24']"
mcn3ykj00s033_set033049,"['0.58', '20']"
mss3cgh00s164_set164085,"['1.5', '4']"
fss4jhk00s148_set148010,"['0.61', '12']"
fkw2lsy01s166_set166053,"['0.5', '9']"
fss3sjw00s096_set096054,"['1.18', '22']"
fkn3pka00s073_set073003,"['0.3', '3']"
fss3pmj00s128_set128045,"['1.46', '11']"
mkn3jws00s043_set043085,"['1.47', '15']"
fjn3pbk00s135_set135013,"['0.46', '25']"
fcn3sem00s162_set162070,"['0.88', '6']"
mjn3lbj01s152_set152086,"['0.65', '13']"
fss2kkh00s055_set055018,"['1.29', '12']"
fss3sjw00s096_set096059,"['0.52', '26']"
fkn3kky00s137_set137051,"['0.6', '12']"
fkn1syl00s178_set178057,"['0.93', '16']"
mcn1hsy00s192_set192095,"['0.54', '3']"
fcn3cks01s048_set048065,"['1.18', '6']"
mkn3kty00s132_set132095,"['0.63', '14']"
mss1hwh00s128_set128087,"['0.65', '28']"
mkn3kog00s032_set032028,"['0.45', '10']"
fss2ljk00s024_set024027,"['1.28', '8']"
mjn3skj00s153_set153064,"['0.92', '8']"
fkn2smh00s120_set120033,"['0.62', '21']"
fss3jek00s085_set085048,"['0.56', '19']"
mkw1ljh01s177_set177021,"['1.16', '20']"
mcn3rhm00s151_set151089,"['1.28', '14']"
mss2msi00s122_set122042,"['0.4', '20']"
fcn2hij00s117_set117060,"['0.74', '16']"
mss2pjg01s063_set063035,"['1.42', '28']"
fcn3hys00s093_set093039,"['0.72', '14']"
fss4lys00s136_set136028,"['1.35', '18']"
mkw2agh00s076_set076104,"['1.07', '5']"
mcn3kgh01s181_set181099,"['1.03', '10']"
mjn3lgs00s171_set171095,"['1.16', '10']"
mss3kjp00s094_set094104,"['1.43', '4']"
mss2csj00s080_set080039,"['0.28', '10']"
mss2kjy00s002_set002077,"['1.0', '17']"
mss2kdh00s125_set125069,"['0.39', '15']"
mkw4ljg00s190_set190017,"['1.25', '23']"
fkw3kcs00s198_set198072,"['0.2', '8']"
mcn5jgs00s117_set117070,"['0.62', '5']"
fjb2psj00s064_set064051,"['0.98', '21']"
mss4ybd00s082_set082018,"['1.27', '21']"
mkn1hgc00s084_set084021,"['1.03', '3']"
fkb4lks00s077_set077003,"['0.29', '17']"
mjn1jst00s189_set189018,"['0.59', '25']"
fcn3jsy00s013_set013011,"['0.23', '14']"
fkn3les01s151_set151081,"['0.29', '11']"
fkb2ahj00s046_set046001,"['0.95', '6']"
mss3hsw00s074_set074001,"['1.45', '8']"
fkn3lms01s113_set113067,"['1.22', '7']"
fcn1sjr00s192_set192096,"['0.33', '8']"
mss2shy01s067_set067075,"['0.72', '26']"
fcn3sio00s088_set088093,"['0.87', '6']"
mkn4eds00s014_set014059,"['1.29', '8']"
fkn3kky00s137_set137097,"['1.38', '4']"
fjn3pbk00s135_set135081,"['0.73', '6']"
mkw2jch00s005_set005021,"['1.46', '15']"
fcn3lci00s118_set118082,"['1.11', '4']"
mcn3kgh01s181_set181095,"['1.43', '19']"
mss3ktj00s025_set025021,"['1.31', '16']"
mss2pjg01s063_set063099,"['1.25', '19']"
fss5mjs00s057_set057102,"['0.24', '6']"
fkn3lms01s113_set113066,"['1.3', '18']"
