mcn1lch04s193_set193010,"['팬더', '화산', '나비']"
fjn3jks00s040_set040034,"['카멜레온', '팬더', '주식']"
mkw4cwy00s018_set018104,"['다이아몬드', '망원경', '나비']"
mkw3lwc00s091_set091084,"['선글라스', '화산', '축구공']"
fss3pmj00s128_set128037,"['화산', '소프트웨어', '팬더']"
mss3lch03s148_set148019,"['축구공', '주식', '알파벳']"
fss4lys00s136_set136034,"['알파벳', '만화책', '바이올린']"
mss2msi00s122_set122076,"['해파리', '나비', '용암']"
mss3csg00s075_set075071,"['행성', '조각상', '바이올린']"
mkw4cwy00s018_set018014,"['축구공', '해파리', '바이올린']"
mjn2chj00s126_set126062,"['무지개', '바이올린', '호랑이']"
mss2ocs00s138_set138016,"['은하수', '바이올린', '행성']"
mcn2osh00s185_set185103,"['바이올린', '팬더', '알파벳']"
fss2lsy00s146_set146069,"['무지개', '잠수함', '용암']"
fjb4sjo00s145_set145027,"['망원경', '화산', '우산']"
mss3kah00s160_set160004,"['우산', '무지개', '스쿠버다이빙']"
mkw3lji01s191_set191067,"['호랑이', '만화책', '주식']"
mss4ljw00s039_set039090,"['조각상', '호랑이', '무지개']"
fjb4sye00s080_set080062,"['조각상', '은하수', '다이아몬드']"
mss1hwh00s128_set128070,"['나비', '해파리', '호랑이']"
fkn3hsh00s156_set156016,"['드론', '화산', '은하수']"
mcn3shm00s130_set130071,"['은하수', '축구공', '철도']"
fjb3pjy00s106_set106092,"['철도', '주식', '아이스크림']"
fcn3lms00s110_set110025,"['드론', '주식', '우산']"
mkn2kkm00s004_set004091,"['알파벳', '원자', '호랑이']"
mkw3lbc00s023_set023042,"['해파리', '행성', '잠수함']"
fkn1syl00s178_set178081,"['원자', '은하수', '알파벳']"
mkw3hse00s159_set159070,"['팬더', '무지개', '우산']"
fss2kjs00s032_set032021,"['팬더', '나비', '망원경']"
mcn2ojs00s176_set176073,"['샌드위치', '우산', '소프트웨어']"
fss2emh00s126_set126090,"['주식', '아이스크림', '잠수함']"
mss3ykh00s022_set022006,"['바이올린', '미술관', '축구공']"
mkw4cwy00s018_set018059,"['조각상', '다이아몬드', '용암']"
fcb2kej01s109_set109072,"['알파벳', '아이스크림', '해파리']"
mkn3njm00s133_set133068,"['아이스크림', '바이올린', '샌드위치']"
mss3csg00s075_set075094,"['화산', '드론', '조각상']"
mkn2kjs03s027_set027096,"['조각상', '미술관', '만화책']"
fkn3hsh00s156_set156076,"['피아노', '선글라스', '바이올린']"
fss4hcs00s071_set071004,"['주식', '용암', '다이아몬드']"
fss3jmh00s099_set099084,"['샌드위치', '선글라스', '화산']"
fcb3kms00s127_set127047,"['호랑이', '나비', '팬더']"
fcb2yjh00s187_set187033,"['스쿠버다이빙', '행성', '은하수']"
fkn2jsy01s033_set033073,"['샌드위치', '선글라스', '주식']"
mss4lhs01s168_set168102,"['만화책', '행성', '선글라스']"
mjn3lyc00s086_set086090,"['행성', '피아노', '다이아몬드']"
mkn4jmg00s077_set077060,"['샌드위치', '다이아몬드', '철도']"
fcn4lsd00s007_set007089,"['만화책', '나비', '스쿠버다이빙']"
fcb3kms00s127_set127031,"['나비', '망원경', '아이스크림']"
mjn3lgs00s171_set171070,"['잠수함', '만화책', '화산']"
fkn3kky00s137_set137077,"['행성', '아이스크림', '나비']"
fjn3pyh00s030_set030080,"['소프트웨어', '원자', '망원경']"
mss2kdh00s125_set125092,"['은하수', '피아노', '스쿠버다이빙']"
mjn4lys01s158_set158061,"['만화책', '미술관', '축구공']"
mjn5kwg00s155_set155033,"['해파리', '바이올린', '다이아몬드']"
mjn2jkh01s103_set103051,"['원자', '화산', '샌드위치']"
fjn4jms01s153_set153060,"['나비', '스쿠버다이빙', '다이아몬드']"
mkn3jws00s043_set043095,"['주식', '소프트웨어', '행성']"
fss1ksh02s019_set019043,"['해파리', '카멜레온', '우산']"
mkw4cwy00s018_set018055,"['화산', '축구공', '나비']"
mkn3kgh00s111_set111019,"['용암', '잠수함', '화산']"
fss2chm00s009_set009047,"['망원경', '축구공', '행성']"
mss2kjy00s002_set002101,"['카멜레온', '용암', '축구공']"
fkb4lhh00s140_set140081,"['은하수', '화산', '아이스크림']"
fss3pmj00s128_set128001,"['나비', '선글라스', '철도']"
mss1kkm01s129_set129050,"['다이아몬드', '무지개', '아이스크림']"
fkb2ymh00s016_set016067,"['소프트웨어', '조각상', '드론']"
fjn3pbk00s135_set135030,"['주식', '은하수', '조각상']"
mkn2kkm00s004_set004065,"['바이올린', '알파벳', '행성']"
fjn3hks00s061_set061059,"['화산', '미술관', '은하수']"
mkn3jip00s034_set034048,"['은하수', '아이스크림', '나비']"
mjn3kbs01s173_set173001,"['아이스크림', '호랑이', '우산']"
fss2hyj00s036_set036080,"['철도', '나비', '용암']"
mjn2shr00s114_set114078,"['선글라스', '축구공', '알파벳']"
mkn3kog00s032_set032103,"['나비', '팬더', '다이아몬드']"
fkb4lks00s077_set077052,"['화산', '망원경', '용암']"
mss4ybd00s082_set082053,"['은하수', '팬더', '우산']"
mkw3lbc00s023_set023046,"['미술관', '우산', '축구공']"
mcn3jsj00s040_set040005,"['철도', '무지개', '미술관']"
mss2pjg01s063_set063073,"['만화책', '카멜레온', '아이스크림']"
fss4scs00s008_set008013,"['용암', '아이스크림', '카멜레온']"
mjn1hjw00s118_set118099,"['호랑이', '알파벳', '나비']"
mss3kjs05s147_set147103,"['조각상', '망원경', '무지개']"
mss1bsc00s012_set012092,"['다이아몬드', '카멜레온', '무지개']"
fjn3kyo00s119_set119012,"['선글라스', '알파벳', '망원경']"
fkn1syl00s178_set178031,"['바이올린', '팬더', '무지개']"
fcb3kms00s127_set127098,"['아이스크림', '바이올린', '피아노']"
mcn3rhm00s151_set151102,"['소프트웨어', '샌드위치', '미술관']"
mkw1shg00s184_set184016,"['무지개', '호랑이', '드론']"
fjb2kem01s095_set095017,"['미술관', '바이올린', '드론']"
fjn3kir00s014_set014087,"['철도', '망원경', '화산']"
fjn3hks00s061_set061038,"['무지개', '나비', '피아노']"
mss4hwb00s030_set030030,"['잠수함', '선글라스', '피아노']"
mss2kjy00s002_set002062,"['호랑이', '드론', '아이스크림']"
mcn2lds00s135_set135059,"['미술관', '조각상', '선글라스']"
mss2lsm00s011_set011068,"['화산', '조각상', '우산']"
fcn3pej00s139_set139091,"['카멜레온', '축구공', '소프트웨어']"
mcn3jsj00s040_set040058,"['만화책', '카멜레온', '철도']"
mss3lch03s148_set148096,"['축구공', '팬더', '화산']"
fkn3yks00s097_set097033,"['해파리', '우산', '드론']"
mjn3lwt00s172_set172070,"['용암', '망원경', '행성']"
fss5mjs00s057_set057067,"['해파리', '주식', '망원경']"
fkn3kky00s137_set137007,"['알파벳', '축구공', '은하수']"
fjb4sjo00s145_set145066,"['행성', '우산', '화산']"
mcn4lbj00s113_set113004,"['화산', '해파리', '카멜레온']"
fss4jse00s114_set114056,"['다이아몬드', '잠수함', '스쿠버다이빙']"
mjn1hjw00s118_set118009,"['호랑이', '바이올린', '망원경']"
fcn2hij00s117_set117035,"['해파리', '바이올린', '조각상']"
mss3kyh00s072_set072059,"['바이올린', '샌드위치', '행성']"
mjn5kcr00s106_set106002,"['드론', '은하수', '나비']"
mcn5jgs00s117_set117023,"['알파벳', '축구공', '팬더']"
mkn2ksh06s154_set154099,"['해파리', '망원경', '소프트웨어']"
fkb4lhh00s140_set140040,"['샌드위치', '다이아몬드', '은하수']"
fss2kjs00s032_set032052,"['피아노', '아이스크림', '주식']"
mss3hck00s089_set089005,"['선글라스', '미술관', '피아노']"
fjb2khy00s083_set083014,"['축구공', '샌드위치', '잠수함']"
fcn3lms00s110_set110083,"['나비', '해파리', '철도']"
fjn3kir00s014_set014081,"['알파벳', '행성', '아이스크림']"
fss3pmj00s128_set128076,"['만화책', '원자', '스쿠버다이빙']"
mcn3jsg00s178_set178059,"['축구공', '나비', '드론']"
fjn2jms00s150_set150079,"['바이올린', '조각상', '행성']"
mkn2lkm00s029_set029068,"['행성', '아이스크림', '망원경']"
mss4ksb00s098_set098035,"['망원경', '스쿠버다이빙', '주식']"
fss2hyl00s058_set058010,"['호랑이', '만화책', '카멜레온']"
fjb4koh00s075_set075043,"['호랑이', '무지개', '선글라스']"
fss3jmk00s167_set167032,"['선글라스', '화산', '바이올린']"
mss3sdh00s110_set110037,"['바이올린', '망원경', '화산']"
fkw1cek00s195_set195019,"['소프트웨어', '팬더', '카멜레온']"
fjb3ohs00s090_set090066,"['무지개', '조각상', '다이아몬드']"
fkn2sjs01s123_set123030,"['조각상', '카멜레온', '나비']"
mjn3lwt00s172_set172059,"['미술관', '샌드위치', '화산']"
fss3pks00s029_set029030,"['아이스크림', '축구공', '조각상']"
fcn3ljs00s081_set081096,"['팬더', '축구공', '샌드위치']"
mkn2ksh06s154_set154012,"['용암', '망원경', '알파벳']"
mjn2kcs01s056_set056020,"['조각상', '해파리', '은하수']"
mcn1lsg00s010_set010086,"['조각상', '우산', '해파리']"
fss3hhy01s070_set070070,"['카멜레온', '우산', '호랑이']"
fcn3lci00s118_set118066,"['알파벳', '우산', '선글라스']"
fjb1shk00s183_set183076,"['아이스크림', '주식', '잠수함']"
mcn3kgh01s181_set181080,"['소프트웨어', '행성', '팬더']"
mss1lch02s008_set008042,"['잠수함', '아이스크림', '원자']"
mss1hwh00s128_set128095,"['호랑이', '무지개', '바이올린']"
fss4sjs00s023_set023018,"['나비', '호랑이', '카멜레온']"
mss2kdh00s125_set125059,"['미술관', '만화책', '소프트웨어']"
mss4ksb00s098_set098029,"['해파리', '나비', '철도']"
mjn2chj00s126_set126071,"['선글라스', '철도', '미술관']"
mss3ktj00s025_set025077,"['무지개', '아이스크림', '알파벳']"
mkw3lbc00s023_set023068,"['용암', '샌드위치', '스쿠버다이빙']"
fjb2kem01s095_set095030,"['원자', '만화책', '축구공']"
fss1jys00s022_set022007,"['철도', '우산', '축구공']"
mkw3hse00s159_set159054,"['소프트웨어', '카멜레온', '호랑이']"
mkw4hym00s199_set199072,"['무지개', '소프트웨어', '화산']"
fkw2jyj00s108_set108081,"['철도', '샌드위치', '알파벳']"
fss3lkh00s028_set028046,"['은하수', '화산', '철도']"
fkw3kma00s170_set170086,"['나비', '아이스크림', '주식']"
mkn4jmc00s166_set166071,"['행성', '카멜레온', '우산']"
mss4eks00s017_set017059,"['아이스크림', '나비', '소프트웨어']"
fcn3cks01s048_set048104,"['조각상', '다이아몬드', '축구공']"
fjn4jms01s153_set153068,"['화산', '나비', '샌드위치']"
fss3jmk00s167_set167038,"['바이올린', '아이스크림', '무지개']"
fcn1sjr00s192_set192062,"['알파벳', '잠수함', '만화책']"
fkn2jsy02s065_set065051,"['선글라스', '만화책', '행성']"
mss1hwh00s128_set128094,"['용암', '팬더', '소프트웨어']"
fcn3ljs00s081_set081034,"['팬더', '철도', '나비']"
fcn3sio00s088_set088026,"['미술관', '해파리', '행성']"
mss1bsc00s012_set012064,"['만화책', '해파리', '나비']"
fkn2lho00s100_set100073,"['피아노', '망원경', '주식']"
mss2pgy00s066_set066064,"['주식', '스쿠버다이빙', '해파리']"
mss1lch02s008_set008050,"['행성', '우산', '축구공']"
mss2pgy00s066_set066002,"['호랑이', '스쿠버다이빙', '해파리']"
fkb3ksm00s121_set121015,"['소프트웨어', '카멜레온', '샌드위치']"
fss4jse00s114_set114054,"['알파벳', '행성', '선글라스']"
fss1bjk00s021_set021102,"['팬더', '나비', '행성']"
fkw3hhy00s039_set039036,"['미술관', '원자', '축구공']"
fss3pmj00s128_set128032,"['호랑이', '주식', '망원경']"
fkb4keh00s031_set031038,"['조각상', '알파벳', '은하수']"
fss3yje00s001_set001020,"['우산', '호랑이', '원자']"
mss4hwb00s030_set030092,"['알파벳', '팬더', '아이스크림']"
mkn4jmc00s166_set166017,"['팬더', '화산', '조각상']"
mss4lhs01s168_set168037,"['아이스크림', '조각상', '나비']"
mkn3jws00s043_set043031,"['해파리', '다이아몬드', '스쿠버다이빙']"
fkw2phs00s043_set043082,"['해파리', '조각상', '팬더']"
fkn3kse00s041_set041019,"['드론', '잠수함', '소프트웨어']"
mjn2kcs01s056_set056057,"['미술관', '원자', '스쿠버다이빙']"
mss1lch02s008_set008081,"['소프트웨어', '호랑이', '알파벳']"
mjn2jss00s068_set068081,"['소프트웨어', '미술관', '해파리']"
mss3kyk00s140_set140082,"['스쿠버다이빙', '주식', '아이스크림']"
fjb4sjo00s145_set145073,"['나비', '선글라스', '다이아몬드']"
mkn3kjh03s161_set161077,"['팬더', '조각상', '드론']"
mss3sjy00s071_set071028,"['우산', '행성', '피아노']"
fjb2ljh00s053_set053067,"['원자', '선글라스', '알파벳']"
mkn3kgh00s111_set111030,"['호랑이', '만화책', '철도']"
fkb4keh00s031_set031103,"['만화책', '바이올린', '원자']"
fjb2psj00s064_set064032,"['다이아몬드', '카멜레온', '철도']"
mcn1lsg00s010_set010073,"['바이올린', '드론', '샌드위치']"
mkn3jws00s043_set043016,"['무지개', '우산', '주식']"
mss1ahj01s009_set009034,"['알파벳', '무지개', '선글라스']"
mcn3ldi00s028_set028047,"['은하수', '잠수함', '소프트웨어']"
fjb3cks02s105_set105005,"['철도', '망원경', '만화책']"
fkb2lsj00s112_set112051,"['스쿠버다이빙', '행성', '무지개']"
mkn3abc00s024_set024065,"['소프트웨어', '미술관', '무지개']"
fcn3lmk00s131_set131089,"['해파리', '잠수함', '나비']"
mss3khs03s136_set136006,"['우산', '주식', '은하수']"
mkw2jch00s005_set005081,"['망원경', '화산', '원자']"
mss4ksb00s098_set098008,"['무지개', '바이올린', '주식']"
fjn3lbh00s063_set063084,"['만화책', '잠수함', '주식']"
mss4kyc00s041_set041084,"['철도', '호랑이', '카멜레온']"
mcn2jjs01s085_set085038,"['다이아몬드', '소프트웨어', '철도']"
mkw2jch00s005_set005086,"['잠수함', '스쿠버다이빙', '미술관']"
mss1kkm01s129_set129089,"['행성', '나비', '드론']"
fkw2phs01s165_set165062,"['알파벳', '주식', '조각상']"
mjn2kcs01s056_set056087,"['우산', '잠수함', '알파벳']"
mcn2osh00s185_set185077,"['해파리', '잠수함', '축구공']"
mkn1hgc00s084_set084096,"['잠수함', '원자', '드론']"
fjb3pka01s147_set147040,"['잠수함', '드론', '철도']"
fss3jmh00s099_set099067,"['스쿠버다이빙', '축구공', '무지개']"
fss3kmj02s163_set163050,"['망원경', '아이스크림', '잠수함']"
fss2kjs01s037_set037004,"['드론', '무지개', '축구공']"
mkn3kyh01s182_set182083,"['원자', '행성', '축구공']"
mss3kyk00s140_set140089,"['바이올린', '잠수함', '스쿠버다이빙']"
mss3hck00s089_set089069,"['나비', '스쿠버다이빙', '카멜레온']"
fcn4ljs02s197_set197022,"['다이아몬드', '축구공', '무지개']"
fkn2sjs01s123_set123033,"['드론', '스쿠버다이빙', '바이올린']"
fkn3lni00s182_set182045,"['스쿠버다이빙', '화산', '소프트웨어']"
fkn3bra00s098_set098058,"['우산', '호랑이', '소프트웨어']"
fjb2khy00s083_set083045,"['소프트웨어', '축구공', '망원경']"
fcn2les00s079_set079005,"['주식', '행성', '우산']"
mkn2ase00s096_set096066,"['선글라스', '아이스크림', '카멜레온']"
mss2shy01s067_set067081,"['드론', '카멜레온', '망원경']"
fss3lmr00s006_set006002,"['알파벳', '용암', '바이올린']"
fkn2ley00s124_set124017,"['아이스크림', '호랑이', '철도']"
fss2kkh00s055_set055004,"['알파벳', '잠수함', '용암']"
mjn2chj00s126_set126057,"['호랑이', '스쿠버다이빙', '소프트웨어']"
fkn2khh00s020_set020083,"['축구공', '스쿠버다이빙', '바이올린']"
fcn2pkm00s169_set169009,"['축구공', '철도', '호랑이']"
mcn3ldi00s028_set028060,"['바이올린', '망원경', '무지개']"
mkn2ase00s096_set096055,"['미술관', '팬더', '피아노']"
mjn4ysh00s037_set037006,"['피아노', '바이올린', '무지개']"
fss2kem02s115_set115080,"['용암', '피아노', '은하수']"
mkn3koh01s048_set048002,"['다이아몬드', '잠수함', '소프트웨어']"
mcn4hny00s187_set187038,"['알파벳', '우산', '나비']"
mcn3jkh02s120_set120022,"['나비', '호랑이', '주식']"
mss2pug00s007_set007053,"['원자', '스쿠버다이빙', '소프트웨어']"
fkn2jsy01s033_set033043,"['철도', '원자', '선글라스']"
mcn2sdw00s175_set175029,"['소프트웨어', '철도', '조각상']"
mkn3kjh03s161_set161003,"['카멜레온', '바이올린', '알파벳']"
mkn4jmc00s166_set166044,"['주식', '피아노', '알파벳']"
mcn4gjh00s194_set194018,"['원자', '행성', '주식']"
mjn3kjg00s092_set092023,"['카멜레온', '철도', '망원경']"
fss2chm00s009_set009071,"['다이아몬드', '망원경', '팬더']"
mjn2shr00s114_set114077,"['팬더', '스쿠버다이빙', '무지개']"
mkn2kgy00s195_set195043,"['아이스크림', '축구공', '소프트웨어']"
fkn3yks00s097_set097003,"['바이올린', '용암', '나비']"
mss4lsw00s045_set045075,"['소프트웨어', '해파리', '우산']"
mkn3njm00s133_set133048,"['팬더', '호랑이', '은하수']"
fjb3yhs00s012_set012038,"['미술관', '우산', '팬더']"
fjb4cbs00s173_set173103,"['샌드위치', '조각상', '아이스크림']"
mkn3kgh00s111_set111052,"['알파벳', '다이아몬드', '아이스크림']"
fkn1lyo00s175_set175005,"['철도', '축구공', '미술관']"
fss3khs00s003_set003069,"['아이스크림', '주식', '카멜레온']"
fjb2ssh00s102_set102082,"['미술관', '아이스크림', '선글라스']"
mcn3kgh01s181_set181084,"['스쿠버다이빙', '은하수', '샌드위치']"
fss2hyj00s036_set036027,"['드론', '나비', '카멜레온']"
fss3yjs00s072_set072036,"['잠수함', '용암', '알파벳']"
mjn3lbj01s152_set152037,"['무지개', '스쿠버다이빙', '샌드위치']"
fjn2jms00s150_set150022,"['축구공', '샌드위치', '호랑이']"
fkw2jyj00s108_set108028,"['원자', '철도', '소프트웨어']"
fjn3ksa00s049_set049022,"['샌드위치', '축구공', '은하수']"
fjn3lbh00s063_set063074,"['소프트웨어', '바이올린', '선글라스']"
fkw2lsy01s166_set166048,"['주식', '우산', '팬더']"
fcb1khh01s184_set184035,"['망원경', '화산', '다이아몬드']"
mcn2ojs00s176_set176083,"['은하수', '만화책', '선글라스']"
mjn3jbc00s179_set179006,"['미술관', '잠수함', '축구공']"
fcn3sem00s162_set162056,"['호랑이', '무지개', '소프트웨어']"
fcn4pkh01s142_set142104,"['주식', '선글라스', '철도']"
mkn2ngw00s055_set055045,"['알파벳', '행성', '조각상']"
mcn3ksj02s116_set116013,"['다이아몬드', '해파리', '망원경']"
fss3lmr00s006_set006060,"['화산', '철도', '바이올린']"
fkb4lks00s077_set077012,"['축구공', '알파벳', '소프트웨어']"
mcn3kgw00s053_set053087,"['선글라스', '조각상', '바이올린']"
fcn4pkh01s142_set142016,"['샌드위치', '우산', '호랑이']"
fss4lys00s136_set136045,"['행성', '드론', '다이아몬드']"
fcn2pkm00s169_set169088,"['선글라스', '만화책', '화산']"
fss2kjs01s037_set037075,"['행성', '철도', '알파벳']"
mkw2jch00s005_set005098,"['만화책', '철도', '해파리']"
fss3kmh00s015_set015093,"['망원경', '바이올린', '행성']"
fcn3hys00s093_set093030,"['우산', '미술관', '주식']"
mcn2lds00s135_set135030,"['만화책', '호랑이', '다이아몬드']"
fkn3lni00s182_set182038,"['화산', '조각상', '드론']"
fcn4jbs00s042_set042046,"['축구공', '카멜레온', '해파리']"
mss3kyh00s072_set072070,"['철도', '주식', '해파리']"
fss4sjs00s023_set023005,"['나비', '화산', '다이아몬드']"
fcn4lsd00s007_set007021,"['샌드위치', '드론', '아이스크림']"
mjn3jbc00s179_set179045,"['주식', '카멜레온', '샌드위치']"
fss4ysj00s111_set111099,"['소프트웨어', '용암', '팬더']"
fjb1shk00s183_set183010,"['알파벳', '원자', '행성']"
fjn2kel00s130_set130016,"['선글라스', '다이아몬드', '철도']"
fss4jhk00s148_set148100,"['철도', '아이스크림', '바이올린']"
mjn2jyg01s141_set141046,"['철도', '스쿠버다이빙', '행성']"
fss3hsa00s141_set141082,"['주식', '선글라스', '알파벳']"
mss3ysm00s019_set019008,"['드론', '알파벳', '무지개']"
mcn1lsg00s010_set010054,"['조각상', '피아노', '호랑이']"
mkn2yjs01s079_set079049,"['우산', '아이스크림', '철도']"
mss3sjy00s071_set071056,"['호랑이', '다이아몬드', '망원경']"
fjn3pbk00s135_set135069,"['팬더', '카멜레온', '미술관']"
mcn2osh00s185_set185012,"['아이스크림', '행성', '나비']"
mjn1jst00s189_set189025,"['스쿠버다이빙', '원자', '소프트웨어']"
mcn2sdw00s175_set175090,"['알파벳', '주식', '다이아몬드']"
mjn3jhg00s059_set059023,"['주식', '원자', '용암']"
mkn3ejs00s095_set095054,"['잠수함', '우산', '바이올린']"
mkn3jip00s034_set034041,"['우산', '원자', '조각상']"
mkn2ngw00s055_set055001,"['잠수함', '행성', '아이스크림']"
fss2kjs00s032_set032005,"['주식', '스쿠버다이빙', '원자']"
fjn3kir00s014_set014018,"['팬더', '용암', '바이올린']"
fcb1khh01s184_set184086,"['카멜레온', '은하수', '해파리']"
fss3lmr00s006_set006033,"['드론', '망원경', '피아노']"
fkn4lms02s186_set186007,"['우산', '잠수함', '알파벳']"
mjn2pjh00s127_set127094,"['샌드위치', '호랑이', '원자']"
mjn3jhg00s059_set059042,"['호랑이', '망원경', '은하수']"
mkn4phc00s115_set115085,"['조각상', '무지개', '나비']"
fjb3cks02s105_set105062,"['우산', '팬더', '피아노']"
fcn4jbs00s042_set042102,"['소프트웨어', '드론', '선글라스']"
mss3jyj01s146_set146056,"['축구공', '소프트웨어', '우산']"
fss4hcs00s071_set071040,"['행성', '스쿠버다이빙', '다이아몬드']"
fjb2ljh00s053_set053044,"['축구공', '은하수', '행성']"
fss2keh01s067_set067005,"['화산', '알파벳', '행성']"
mss2bjh00s001_set001090,"['용암', '알파벳', '나비']"
mcn4pcg00s109_set109089,"['피아노', '잠수함', '소프트웨어']"
mcn3jkh02s120_set120010,"['아이스크림', '바이올린', '샌드위치']"
mss2kjy00s002_set002095,"['원자', '카멜레온', '아이스크림']"
fjb2kmj00s044_set044087,"['용암', '잠수함', '아이스크림']"
fcb1jkh00s200_set200066,"['샌드위치', '화산', '행성']"
fss1bjy00s052_set052071,"['원자', '나비', '알파벳']"
mss4eks00s017_set017087,"['선글라스', '카멜레온', '화산']"
fcn2oyo00s116_set116009,"['스쿠버다이빙', '피아노', '미술관']"
fjn3pbk00s135_set135039,"['카멜레온', '스쿠버다이빙', '선글라스']"
fss2cyh00s056_set056039,"['호랑이', '잠수함', '조각상']"
fcn4ljs02s197_set197040,"['알파벳', '아이스크림', '드론']"
mkw4cws00s112_set112089,"['다이아몬드', '알파벳', '샌드위치']"
fkn1syl00s178_set178039,"['다이아몬드', '나비', '무지개']"
mss4eks00s017_set017083,"['만화책', '호랑이', '다이아몬드']"
mjn4ahs00s145_set145059,"['행성', '철도', '드론']"
mkw4cwy00s018_set018019,"['스쿠버다이빙', '잠수함', '알파벳']"
mjn5kwg00s155_set155032,"['바이올린', '무지개', '드론']"
fjb3cks02s105_set105060,"['망원경', '화산', '소프트웨어']"
fss4yhj00s060_set060100,"['행성', '드론', '철도']"
mss3lky00s020_set020052,"['망원경', '팬더', '행성']"
mcn3ldi00s028_set028020,"['망원경', '무지개', '철도']"
fkn1syl00s178_set178044,"['무지개', '조각상', '우산']"
fss3kmj02s163_set163040,"['주식', '해파리', '다이아몬드']"
fkb2ahj00s046_set046031,"['은하수', '무지개', '행성']"
mkn2kgy00s195_set195072,"['호랑이', '아이스크림', '피아노']"
fss3jmk00s167_set167009,"['철도', '용암', '잠수함']"
fss2kkh00s055_set055096,"['카멜레온', '원자', '알파벳']"
fjn2jms00s150_set150066,"['원자', '행성', '미술관']"
mcn2ojs00s176_set176046,"['선글라스', '조각상', '카멜레온']"
mkw2lcs00s180_set180073,"['축구공', '만화책', '드론']"
fss1kej00s068_set068054,"['바이올린', '나비', '용암']"
fkn4shy00s193_set193070,"['피아노', '망원경', '용암']"
mss3kyk00s140_set140067,"['다이아몬드', '샌드위치', '카멜레온']"
mss3ysm00s019_set019080,"['무지개', '행성', '나비']"
fjb3ohs00s090_set090104,"['용암', '망원경', '원자']"
