mss3csg00s075_set075071,"['rt60 1.11s', 'distance 33m']"
mkw4cwy00s018_set018014,"['rt60 1.64s', 'distance 44m']"
mjn2chj00s126_set126062,"['rt60 0.6s', 'distance 41m']"
mss2ocs00s138_set138016,"['rt60 1.73s', 'distance 42m']"
mcn2osh00s185_set185103,"['rt60 1.17s', 'distance 42m']"
fss2lsy00s146_set146069,"['rt60 1.63s', 'distance 39m']"
fjb4sjo00s145_set145027,"['rt60 0.85s', 'distance 40m']"
mss3kah00s160_set160004,"['rt60 1.39s', 'distance 53m']"
mkw3lji01s191_set191067,"['rt60 0.85s', 'distance 49m']"
mss4ljw00s039_set039090,"['rt60 1.76s', 'distance 47m']"
fjb4sye00s080_set080062,"['rt60 1.68s', 'distance 45m']"
mss1hwh00s128_set128070,"['rt60 0.94s', 'distance 35m']"
fkn3hsh00s156_set156016,"['rt60 1.45s', 'distance 48m']"
mcn3shm00s130_set130071,"['rt60 1.68s', 'distance 46m']"
fjb3pjy00s106_set106092,"['rt60 0.78s', 'distance 43m']"
fcn3lms00s110_set110025,"['rt60 1.34s', 'distance 35m']"
mkn2kkm00s004_set004091,"['rt60 1.47s', 'distance 45m']"
mkw3lbc00s023_set023042,"['rt60 1.42s', 'distance 39m']"
fkn1syl00s178_set178081,"['rt60 1.61s', 'distance 40m']"
mkw3hse00s159_set159070,"['rt60 0.87s', 'distance 42m']"
fss2kjs00s032_set032021,"['rt60 1.24s', 'distance 34m']"
mcn2ojs00s176_set176073,"['rt60 1.36s', 'distance 47m']"
fss2emh00s126_set126090,"['rt60 1.21s', 'distance 39m']"
mss3ykh00s022_set022006,"['rt60 0.7s', 'distance 41m']"
mkw4cwy00s018_set018059,"['rt60 0.71s', 'distance 49m']"
fcb2kej01s109_set109072,"['rt60 1.39s', 'distance 38m']"
mkn3njm00s133_set133068,"['rt60 0.95s', 'distance 42m']"
mss3csg00s075_set075094,"['rt60 1.06s', 'distance 41m']"
mkn2kjs03s027_set027096,"['rt60 0.81s', 'distance 55m']"
fkn3hsh00s156_set156076,"['rt60 1.76s', 'distance 40m']"
fss4hcs00s071_set071004,"['rt60 1.32s', 'distance 39m']"
fss3jmh00s099_set099084,"['rt60 1.71s', 'distance 50m']"
fcb3kms00s127_set127047,"['rt60 1.79s', 'distance 53m']"
fcb2yjh00s187_set187033,"['rt60 1.17s', 'distance 49m']"
fkn2jsy01s033_set033073,"['rt60 0.84s', 'distance 40m']"
mss4lhs01s168_set168102,"['rt60 1.27s', 'distance 41m']"
mjn3lyc00s086_set086090,"['rt60 1.33s', 'distance 44m']"
mkn4jmg00s077_set077060,"['rt60 0.66s', 'distance 35m']"
fcn4lsd00s007_set007089,"['rt60 1.53s', 'distance 46m']"
fcb3kms00s127_set127031,"['rt60 1.76s', 'distance 46m']"
mjn3lgs00s171_set171070,"['rt60 1.54s', 'distance 33m']"
fkn3kky00s137_set137077,"['rt60 1.59s', 'distance 33m']"
fjn3pyh00s030_set030080,"['rt60 1.37s', 'distance 42m']"
mss2kdh00s125_set125092,"['rt60 1.67s', 'distance 48m']"
mjn4lys01s158_set158061,"['rt60 1.26s', 'distance 33m']"
mjn5kwg00s155_set155033,"['rt60 0.8s', 'distance 47m']"
mjn2jkh01s103_set103051,"['rt60 1.63s', 'distance 50m']"
fjn4jms01s153_set153060,"['rt60 1.53s', 'distance 51m']"
mkn3jws00s043_set043095,"['rt60 0.59s', 'distance 47m']"
fss1ksh02s019_set019043,"['rt60 1.69s', 'distance 55m']"
mkw4cwy00s018_set018055,"['rt60 0.72s', 'distance 44m']"
mkn3kgh00s111_set111019,"['rt60 1.78s', 'distance 38m']"
fss2chm00s009_set009047,"['rt60 0.98s', 'distance 42m']"
mss2kjy00s002_set002101,"['rt60 1.67s', 'distance 44m']"
fkb4lhh00s140_set140081,"['rt60 1.0s', 'distance 46m']"
fss3pmj00s128_set128001,"['rt60 1.58s', 'distance 47m']"
mss1kkm01s129_set129050,"['rt60 1.55s', 'distance 52m']"
fkb2ymh00s016_set016067,"['rt60 1.21s', 'distance 35m']"
fjn3pbk00s135_set135030,"['rt60 0.82s', 'distance 34m']"
mkn2kkm00s004_set004065,"['rt60 0.94s', 'distance 42m']"
fjn3hks00s061_set061059,"['rt60 0.55s', 'distance 53m']"
mkn3jip00s034_set034048,"['rt60 0.6s', 'distance 45m']"
mjn3kbs01s173_set173001,"['rt60 0.86s', 'distance 44m']"
fss2hyj00s036_set036080,"['rt60 0.72s', 'distance 33m']"
mjn2shr00s114_set114078,"['rt60 0.66s', 'distance 40m']"
mkn3kog00s032_set032103,"['rt60 0.56s', 'distance 44m']"
fkb4lks00s077_set077052,"['rt60 1.29s', 'distance 45m']"
mss4ybd00s082_set082053,"['rt60 1.61s', 'distance 45m']"
mkw3lbc00s023_set023046,"['rt60 1.13s', 'distance 44m']"
mcn3jsj00s040_set040005,"['rt60 1.58s', 'distance 51m']"
mss2pjg01s063_set063073,"['rt60 1.11s', 'distance 53m']"
fss4scs00s008_set008013,"['rt60 1.7s', 'distance 41m']"
mjn1hjw00s118_set118099,"['rt60 0.65s', 'distance 44m']"
mss3kjs05s147_set147103,"['rt60 0.73s', 'distance 46m']"
mss1bsc00s012_set012092,"['rt60 0.92s', 'distance 46m']"
fjn3kyo00s119_set119012,"['rt60 1.58s', 'distance 39m']"
fkn1syl00s178_set178031,"['rt60 0.92s', 'distance 37m']"
fcb3kms00s127_set127098,"['rt60 0.69s', 'distance 33m']"
mcn3rhm00s151_set151102,"['rt60 1.07s', 'distance 43m']"
mkw1shg00s184_set184016,"['rt60 0.95s', 'distance 44m']"
fjb2kem01s095_set095017,"['rt60 1.33s', 'distance 46m']"
fjn3kir00s014_set014087,"['rt60 0.83s', 'distance 45m']"
fjn3hks00s061_set061038,"['rt60 1.46s', 'distance 40m']"
mss4hwb00s030_set030030,"['rt60 1.31s', 'distance 40m']"
mss2kjy00s002_set002062,"['rt60 1.5s', 'distance 50m']"
mcn2lds00s135_set135059,"['rt60 0.83s', 'distance 60m']"
mss2lsm00s011_set011068,"['rt60 0.96s', 'distance 45m']"
fcn3pej00s139_set139091,"['rt60 1.75s', 'distance 45m']"
mcn3jsj00s040_set040058,"['rt60 0.66s', 'distance 53m']"
mss3lch03s148_set148096,"['rt60 1.39s', 'distance 44m']"
fkn3yks00s097_set097033,"['rt60 1.0s', 'distance 36m']"
mjn3lwt00s172_set172070,"['rt60 1.57s', 'distance 59m']"
fss5mjs00s057_set057067,"['rt60 1.17s', 'distance 37m']"
fkn3kky00s137_set137007,"['rt60 0.71s', 'distance 41m']"
fjb4sjo00s145_set145066,"['rt60 0.64s', 'distance 41m']"
mcn4lbj00s113_set113004,"['rt60 1.37s', 'distance 39m']"
fss4jse00s114_set114056,"['rt60 0.87s', 'distance 43m']"
mjn1hjw00s118_set118009,"['rt60 1.01s', 'distance 45m']"
fcn2hij00s117_set117035,"['rt60 1.69s', 'distance 35m']"
mss3kyh00s072_set072059,"['rt60 1.23s', 'distance 43m']"
mjn5kcr00s106_set106002,"['rt60 1.13s', 'distance 44m']"
mcn5jgs00s117_set117023,"['rt60 1.22s', 'distance 33m']"
mkn2ksh06s154_set154099,"['rt60 0.96s', 'distance 50m']"
fkb4lhh00s140_set140040,"['rt60 1.26s', 'distance 46m']"
fss2kjs00s032_set032052,"['rt60 1.34s', 'distance 44m']"
mss3hck00s089_set089005,"['rt60 0.62s', 'distance 45m']"
fjb2khy00s083_set083014,"['rt60 0.82s', 'distance 39m']"
fcn3lms00s110_set110083,"['rt60 1.6s', 'distance 45m']"
fjn3kir00s014_set014081,"['rt60 0.5s', 'distance 52m']"
fss3pmj00s128_set128076,"['rt60 1.13s', 'distance 42m']"
mcn3jsg00s178_set178059,"['rt60 0.88s', 'distance 42m']"
fjn2jms00s150_set150079,"['rt60 1.53s', 'distance 36m']"
mkn2lkm00s029_set029068,"['rt60 1.29s', 'distance 40m']"
mss4ksb00s098_set098035,"['rt60 1.08s', 'distance 33m']"
fss2hyl00s058_set058010,"['rt60 1.78s', 'distance 45m']"
fjb4koh00s075_set075043,"['rt60 1.56s', 'distance 42m']"
fss3jmk00s167_set167032,"['rt60 0.51s', 'distance 39m']"
mss3sdh00s110_set110037,"['rt60 0.8s', 'distance 35m']"
fkw1cek00s195_set195019,"['rt60 1.55s', 'distance 35m']"
fjb3ohs00s090_set090066,"['rt60 1.66s', 'distance 52m']"
fkn2sjs01s123_set123030,"['rt60 1.28s', 'distance 54m']"
mjn3lwt00s172_set172059,"['rt60 1.1s', 'distance 43m']"
fss3pks00s029_set029030,"['rt60 1.44s', 'distance 43m']"
fcn3ljs00s081_set081096,"['rt60 0.7s', 'distance 41m']"
mkn2ksh06s154_set154012,"['rt60 0.86s', 'distance 46m']"
mjn2kcs01s056_set056020,"['rt60 1.28s', 'distance 42m']"
mcn1lsg00s010_set010086,"['rt60 1.74s', 'distance 41m']"
fss3hhy01s070_set070070,"['rt60 1.05s', 'distance 40m']"
fcn3lci00s118_set118066,"['rt60 1.73s', 'distance 49m']"
fjb1shk00s183_set183076,"['rt60 1.45s', 'distance 47m']"
mcn3kgh01s181_set181080,"['rt60 1.21s', 'distance 44m']"
mss1lch02s008_set008042,"['rt60 1.25s', 'distance 39m']"
mss1hwh00s128_set128095,"['rt60 0.75s', 'distance 42m']"
fss4sjs00s023_set023018,"['rt60 1.21s', 'distance 38m']"
mss2kdh00s125_set125059,"['rt60 1.15s', 'distance 35m']"
mss4ksb00s098_set098029,"['rt60 0.82s', 'distance 41m']"
mjn2chj00s126_set126071,"['rt60 1.5s', 'distance 51m']"
mss3ktj00s025_set025077,"['rt60 1.01s', 'distance 38m']"
mkw3lbc00s023_set023068,"['rt60 1.22s', 'distance 60m']"
fjb2kem01s095_set095030,"['rt60 0.94s', 'distance 39m']"
fss1jys00s022_set022007,"['rt60 1.38s', 'distance 40m']"
mkw3hse00s159_set159054,"['rt60 1.23s', 'distance 37m']"
mkw4hym00s199_set199072,"['rt60 1.69s', 'distance 50m']"
fkw2jyj00s108_set108081,"['rt60 1.66s', 'distance 40m']"
fss3lkh00s028_set028046,"['rt60 0.94s', 'distance 37m']"
fkw3kma00s170_set170086,"['rt60 1.51s', 'distance 39m']"
mkn4jmc00s166_set166071,"['rt60 1.69s', 'distance 51m']"
mss4eks00s017_set017059,"['rt60 0.79s', 'distance 44m']"
fcn3cks01s048_set048104,"['rt60 0.97s', 'distance 38m']"
fjn4jms01s153_set153068,"['rt60 0.88s', 'distance 43m']"
fss3jmk00s167_set167038,"['rt60 1.76s', 'distance 39m']"
fcn1sjr00s192_set192062,"['rt60 1.0s', 'distance 40m']"
fkn2jsy02s065_set065051,"['rt60 1.63s', 'distance 42m']"
mss1hwh00s128_set128094,"['rt60 1.59s', 'distance 42m']"
fcn3ljs00s081_set081034,"['rt60 1.12s', 'distance 48m']"
fcn3sio00s088_set088026,"['rt60 1.5s', 'distance 43m']"
mss1bsc00s012_set012064,"['rt60 0.72s', 'distance 38m']"
fkn2lho00s100_set100073,"['rt60 1.51s', 'distance 40m']"
mss2pgy00s066_set066064,"['rt60 1.31s', 'distance 44m']"
mss1lch02s008_set008050,"['rt60 0.55s', 'distance 62m']"
mss2pgy00s066_set066002,"['rt60 0.53s', 'distance 37m']"
fkb3ksm00s121_set121015,"['rt60 1.78s', 'distance 58m']"
fss4jse00s114_set114054,"['rt60 1.75s', 'distance 52m']"
fss1bjk00s021_set021102,"['rt60 1.34s', 'distance 53m']"
fkw3hhy00s039_set039036,"['rt60 1.09s', 'distance 51m']"
fss3pmj00s128_set128032,"['rt60 1.41s', 'distance 38m']"
fkb4keh00s031_set031038,"['rt60 0.79s', 'distance 46m']"
fss3yje00s001_set001020,"['rt60 0.83s', 'distance 48m']"
mss4hwb00s030_set030092,"['rt60 1.77s', 'distance 56m']"
mkn4jmc00s166_set166017,"['rt60 1.19s', 'distance 37m']"
mss4lhs01s168_set168037,"['rt60 1.46s', 'distance 42m']"
mkn3jws00s043_set043031,"['rt60 0.81s', 'distance 47m']"
fkw2phs00s043_set043082,"['rt60 0.94s', 'distance 46m']"
fkn3kse00s041_set041019,"['rt60 1.49s', 'distance 51m']"
mjn2kcs01s056_set056057,"['rt60 0.98s', 'distance 36m']"
mss1lch02s008_set008081,"['rt60 1.23s', 'distance 51m']"
mjn2jss00s068_set068081,"['rt60 1.09s', 'distance 37m']"
mss3kyk00s140_set140082,"['rt60 1.2s', 'distance 47m']"
fjb4sjo00s145_set145073,"['rt60 1.77s', 'distance 54m']"
mkn3kjh03s161_set161077,"['rt60 1.19s', 'distance 34m']"
mss3sjy00s071_set071028,"['rt60 1.65s', 'distance 42m']"
fjb2ljh00s053_set053067,"['rt60 1.3s', 'distance 40m']"
mkn3kgh00s111_set111030,"['rt60 0.79s', 'distance 50m']"
fkb4keh00s031_set031103,"['rt60 0.79s', 'distance 39m']"
fjb2psj00s064_set064032,"['rt60 1.57s', 'distance 36m']"
mcn1lsg00s010_set010073,"['rt60 1.27s', 'distance 42m']"
mkn3jws00s043_set043016,"['rt60 1.43s', 'distance 36m']"
mss1ahj01s009_set009034,"['rt60 0.76s', 'distance 53m']"
mcn3ldi00s028_set028047,"['rt60 0.73s', 'distance 46m']"
fjb3cks02s105_set105005,"['rt60 1.32s', 'distance 46m']"
fkb2lsj00s112_set112051,"['rt60 0.99s', 'distance 41m']"
mkn3abc00s024_set024065,"['rt60 0.84s', 'distance 41m']"
fcn3lmk00s131_set131089,"['rt60 0.85s', 'distance 38m']"
mss3khs03s136_set136006,"['rt60 0.59s', 'distance 37m']"
mkw2jch00s005_set005081,"['rt60 1.41s', 'distance 45m']"
mss4ksb00s098_set098008,"['rt60 1.65s', 'distance 39m']"
fjn3lbh00s063_set063084,"['rt60 0.92s', 'distance 45m']"
mss4kyc00s041_set041084,"['rt60 1.06s', 'distance 48m']"
mcn2jjs01s085_set085038,"['rt60 1.35s', 'distance 46m']"
mkw2jch00s005_set005086,"['rt60 0.61s', 'distance 36m']"
mss1kkm01s129_set129089,"['rt60 1.7s', 'distance 42m']"
fkw2phs01s165_set165062,"['rt60 0.97s', 'distance 43m']"
mjn2kcs01s056_set056087,"['rt60 0.57s', 'distance 36m']"
mcn2osh00s185_set185077,"['rt60 0.57s', 'distance 35m']"
mkn1hgc00s084_set084096,"['rt60 1.04s', 'distance 37m']"
fjb3pka01s147_set147040,"['rt60 1.17s', 'distance 38m']"
fss3jmh00s099_set099067,"['rt60 1.1s', 'distance 42m']"
fss3kmj02s163_set163050,"['rt60 0.83s', 'distance 57m']"
fss2kjs01s037_set037004,"['rt60 1.07s', 'distance 37m']"
mkn3kyh01s182_set182083,"['rt60 0.76s', 'distance 42m']"
mss3kyk00s140_set140089,"['rt60 1.35s', 'distance 41m']"
mss3hck00s089_set089069,"['rt60 0.94s', 'distance 38m']"
fcn4ljs02s197_set197022,"['rt60 1.69s', 'distance 48m']"
fkn2sjs01s123_set123033,"['rt60 1.59s', 'distance 54m']"
fkn3lni00s182_set182045,"['rt60 1.78s', 'distance 45m']"
fkn3bra00s098_set098058,"['rt60 1.75s', 'distance 50m']"
fjb2khy00s083_set083045,"['rt60 0.87s', 'distance 43m']"
fcn2les00s079_set079005,"['rt60 1.46s', 'distance 44m']"
mkn2ase00s096_set096066,"['rt60 0.76s', 'distance 61m']"
mss2shy01s067_set067081,"['rt60 1.37s', 'distance 48m']"
fss3lmr00s006_set006002,"['rt60 1.16s', 'distance 36m']"
fkn2ley00s124_set124017,"['rt60 0.58s', 'distance 39m']"
fss2kkh00s055_set055004,"['rt60 1.62s', 'distance 47m']"
mjn2chj00s126_set126057,"['rt60 1.34s', 'distance 51m']"
fkn2khh00s020_set020083,"['rt60 0.83s', 'distance 41m']"
fcn2pkm00s169_set169009,"['rt60 0.72s', 'distance 42m']"
mcn3ldi00s028_set028060,"['rt60 1.28s', 'distance 36m']"
mkn2ase00s096_set096055,"['rt60 1.43s', 'distance 42m']"
mjn4ysh00s037_set037006,"['rt60 1.28s', 'distance 44m']"
fss2kem02s115_set115080,"['rt60 1.08s', 'distance 40m']"
mkn3koh01s048_set048002,"['rt60 0.54s', 'distance 45m']"
mcn4hny00s187_set187038,"['rt60 1.26s', 'distance 39m']"
mcn3jkh02s120_set120022,"['rt60 1.59s', 'distance 44m']"
mss2pug00s007_set007053,"['rt60 1.66s', 'distance 43m']"
fkn2jsy01s033_set033043,"['rt60 1.32s', 'distance 34m']"
mcn2sdw00s175_set175029,"['rt60 1.22s', 'distance 41m']"
mkn3kjh03s161_set161003,"['rt60 1.07s', 'distance 53m']"
mkn4jmc00s166_set166044,"['rt60 1.01s', 'distance 38m']"
mcn4gjh00s194_set194018,"['rt60 1.36s', 'distance 41m']"
mjn3kjg00s092_set092023,"['rt60 1.57s', 'distance 38m']"
fss2chm00s009_set009071,"['rt60 1.16s', 'distance 40m']"
mjn2shr00s114_set114077,"['rt60 0.69s', 'distance 40m']"
mkn2kgy00s195_set195043,"['rt60 1.71s', 'distance 45m']"
fkn3yks00s097_set097003,"['rt60 1.1s', 'distance 36m']"
mss4lsw00s045_set045075,"['rt60 1.03s', 'distance 54m']"
mkn3njm00s133_set133048,"['rt60 1.6s', 'distance 37m']"
fjb3yhs00s012_set012038,"['rt60 1.4s', 'distance 50m']"
fjb4cbs00s173_set173103,"['rt60 0.98s', 'distance 40m']"
mkn3kgh00s111_set111052,"['rt60 0.67s', 'distance 35m']"
fkn1lyo00s175_set175005,"['rt60 1.7s', 'distance 54m']"
fss3khs00s003_set003069,"['rt60 1.74s', 'distance 38m']"
fjb2ssh00s102_set102082,"['rt60 1.79s', 'distance 37m']"
mcn3kgh01s181_set181084,"['rt60 1.67s', 'distance 45m']"
fss2hyj00s036_set036027,"['rt60 1.51s', 'distance 47m']"
fss3yjs00s072_set072036,"['rt60 1.22s', 'distance 42m']"
mjn3lbj01s152_set152037,"['rt60 0.54s', 'distance 56m']"
fjn2jms00s150_set150022,"['rt60 0.95s', 'distance 36m']"
fkw2jyj00s108_set108028,"['rt60 0.5s', 'distance 46m']"
fjn3ksa00s049_set049022,"['rt60 0.95s', 'distance 41m']"
fjn3lbh00s063_set063074,"['rt60 1.54s', 'distance 43m']"
fkw2lsy01s166_set166048,"['rt60 0.57s', 'distance 39m']"
fcb1khh01s184_set184035,"['rt60 0.84s', 'distance 38m']"
mcn2ojs00s176_set176083,"['rt60 1.76s', 'distance 42m']"
mjn3jbc00s179_set179006,"['rt60 1.61s', 'distance 47m']"
fcn3sem00s162_set162056,"['rt60 1.42s', 'distance 41m']"
fcn4pkh01s142_set142104,"['rt60 0.6s', 'distance 45m']"
mkn2ngw00s055_set055045,"['rt60 1.38s', 'distance 40m']"
mcn3ksj02s116_set116013,"['rt60 0.91s', 'distance 48m']"
fss3lmr00s006_set006060,"['rt60 0.56s', 'distance 48m']"
fkb4lks00s077_set077012,"['rt60 1.01s', 'distance 40m']"
mcn3kgw00s053_set053087,"['rt60 1.71s', 'distance 42m']"
fcn4pkh01s142_set142016,"['rt60 0.78s', 'distance 42m']"
fss4lys00s136_set136045,"['rt60 1.72s', 'distance 44m']"
fcn2pkm00s169_set169088,"['rt60 1.76s', 'distance 56m']"
fss2kjs01s037_set037075,"['rt60 1.62s', 'distance 41m']"
mkw2jch00s005_set005098,"['rt60 1.11s', 'distance 46m']"
fss3kmh00s015_set015093,"['rt60 1.03s', 'distance 47m']"
fcn3hys00s093_set093030,"['rt60 1.78s', 'distance 52m']"
mcn2lds00s135_set135030,"['rt60 0.82s', 'distance 43m']"
fkn3lni00s182_set182038,"['rt60 1.28s', 'distance 34m']"
fcn4jbs00s042_set042046,"['rt60 1.35s', 'distance 63m']"
mss3kyh00s072_set072070,"['rt60 1.37s', 'distance 46m']"
fss4sjs00s023_set023005,"['rt60 1.3s', 'distance 40m']"
fcn4lsd00s007_set007021,"['rt60 0.58s', 'distance 36m']"
mjn3jbc00s179_set179045,"['rt60 0.73s', 'distance 46m']"
fss4ysj00s111_set111099,"['rt60 0.84s', 'distance 54m']"
fjb1shk00s183_set183010,"['rt60 1.6s', 'distance 49m']"
fjn2kel00s130_set130016,"['rt60 0.83s', 'distance 46m']"
fss4jhk00s148_set148100,"['rt60 0.6s', 'distance 36m']"
mjn2jyg01s141_set141046,"['rt60 1.18s', 'distance 41m']"
fss3hsa00s141_set141082,"['rt60 1.53s', 'distance 44m']"
mss3ysm00s019_set019008,"['rt60 1.69s', 'distance 44m']"
mcn1lsg00s010_set010054,"['rt60 1.26s', 'distance 45m']"
mkn2yjs01s079_set079049,"['rt60 0.51s', 'distance 35m']"
mss3sjy00s071_set071056,"['rt60 0.92s', 'distance 55m']"
fjn3pbk00s135_set135069,"['rt60 1.19s', 'distance 51m']"
mcn2osh00s185_set185012,"['rt60 1.33s', 'distance 39m']"
mjn1jst00s189_set189025,"['rt60 1.15s', 'distance 41m']"
mcn2sdw00s175_set175090,"['rt60 1.51s', 'distance 51m']"
mjn3jhg00s059_set059023,"['rt60 1.04s', 'distance 51m']"
mkn3ejs00s095_set095054,"['rt60 0.64s', 'distance 39m']"
mkn3jip00s034_set034041,"['rt60 1.68s', 'distance 48m']"
mkn2ngw00s055_set055001,"['rt60 0.67s', 'distance 42m']"
fss2kjs00s032_set032005,"['rt60 0.66s', 'distance 38m']"
fjn3kir00s014_set014018,"['rt60 1.32s', 'distance 43m']"
fcb1khh01s184_set184086,"['rt60 1.67s', 'distance 46m']"
fss3lmr00s006_set006033,"['rt60 0.61s', 'distance 46m']"
fkn4lms02s186_set186007,"['rt60 1.28s', 'distance 36m']"
mjn2pjh00s127_set127094,"['rt60 1.53s', 'distance 41m']"
mjn3jhg00s059_set059042,"['rt60 1.19s', 'distance 47m']"
mkn4phc00s115_set115085,"['rt60 0.65s', 'distance 47m']"
fjb3cks02s105_set105062,"['rt60 1.02s', 'distance 51m']"
fcn4jbs00s042_set042102,"['rt60 1.38s', 'distance 54m']"
mss3jyj01s146_set146056,"['rt60 1.5s', 'distance 38m']"
fss4hcs00s071_set071040,"['rt60 0.93s', 'distance 34m']"
fjb2ljh00s053_set053044,"['rt60 1.49s', 'distance 50m']"
fss2keh01s067_set067005,"['rt60 0.83s', 'distance 40m']"
mss2bjh00s001_set001090,"['rt60 1.71s', 'distance 40m']"
mcn4pcg00s109_set109089,"['rt60 0.66s', 'distance 47m']"
mcn3jkh02s120_set120010,"['rt60 1.43s', 'distance 37m']"
mss2kjy00s002_set002095,"['rt60 1.37s', 'distance 51m']"
fjb2kmj00s044_set044087,"['rt60 1.7s', 'distance 46m']"
fcb1jkh00s200_set200066,"['rt60 0.59s', 'distance 40m']"
fss1bjy00s052_set052071,"['rt60 1.43s', 'distance 38m']"
mss4eks00s017_set017087,"['rt60 1.61s', 'distance 33m']"
fcn2oyo00s116_set116009,"['rt60 0.92s', 'distance 43m']"
fjn3pbk00s135_set135039,"['rt60 0.92s', 'distance 44m']"
fss2cyh00s056_set056039,"['rt60 0.64s', 'distance 49m']"
fcn4ljs02s197_set197040,"['rt60 0.75s', 'distance 40m']"
mkw4cws00s112_set112089,"['rt60 1.49s', 'distance 46m']"
fkn1syl00s178_set178039,"['rt60 1.53s', 'distance 39m']"
mss4eks00s017_set017083,"['rt60 1.54s', 'distance 47m']"
mjn4ahs00s145_set145059,"['rt60 1.45s', 'distance 44m']"
mkw4cwy00s018_set018019,"['rt60 1.06s', 'distance 45m']"
mjn5kwg00s155_set155032,"['rt60 1.77s', 'distance 38m']"
fjb3cks02s105_set105060,"['rt60 0.64s', 'distance 47m']"
